Page Number,Type,Text,Confidence Score % (Line)
13,LINE,Truong hop phát sinh thêm Dai diên theo uy quyên cúa Chu tài khoån (so vói thông tin hiên có trên,89.32%
13,LINE,mau biêu) hoãc phát sinh thêm Nguròi duoc uy quyên cua Ké toán truong/Phu trách kê toán (so vói,82.56%
13,LINE,thông tin hiên có trên mau biêu) thì don vi có thê chu dông bô sung thêm thông tin tuong úng vói các,88.67%
13,LINE,thông tin theo mãu biêu hiên hành cúa VPBank.,84.08%
13,LINE,-,86.72%
13,LINE,"Truong hop phát sinh thêm ""Nhóm chû ký thú ba"" ngoài Nhóm chû ký cúa Chu tài khoån và",88.58%
13,LINE,"Kê toán truong, thì Don vi soan thão thuc hiên: Bô sung thêm Muc X (truóc Muc: ""Xác nhân",91.16%
13,LINE,"cúa Khách hàng"" và sau ""Dăng ký nguòi giao nhân hop dông, văn bån, chúng tù"". Luru ý khi",86.05%
13,LINE,bô sung Muc mói cân súa sô thú tu tiêp theo cho phù hop) nhu sau:,97.01%
13,LINE,"""X. ĐĂNG KÝ THÔNG TIN VÀ MÃU CHŪ KÝ SÚ DUNG TÀI KHOAN THANH",77.21%
13,LINE,"TOÁN CÚA NHÓM CHŪ KÝ THÚ BA"":",82.99%
13,LINE,"Luu y: Thông tin só thi thuc nhâp cånh, ngày hêt han, noi cap; Dia chi cu trú tai nuóc ngoài áp dung dói vói",91.23%
13,LINE,Nguòi nuóc ngoài/Nguòi không quoc tich/Nguòi có tù 2 quoc tich trô lên.,86.06%
13,LINE,MB01D.QD-GDTC/62,79.58%
13,LINE,13,98.67%
14,LINE,NHÓM CHÛ KÝ THÚ BA,83.05%
14,LINE,THÔNG TIN NHÓM CHŪ KÝ THÚ BA,83.54%
14,LINE,MÃU CHŪ KÝ 1,68.99%
14,LINE,MÃU CHŪ KÝ 2,71.46%
14,LINE,Ho và tên:,85.29%
14,LINE,Ngày sinh:,98.67%
14,LINE,Nam,99.93%
14,LINE,Nû,82.93%
14,LINE,Nghê nghiep:,86.01%
14,LINE,Chúrc vu:,84.4%
14,LINE,Quoc tich:,82.5%
14,LINE,Sô CMND/HC/The CCCD:,82.74%
14,LINE,Ngày cap:,79.77%
14,LINE,Noi cap:,79.62%
14,LINE,Mã sô thué:,82.87%
14,LINE,Diên thoai:,94.48%
14,LINE,Email:,99.89%
14,LINE,Dia chi thuong trú/cu trú Ó nuóc ngoài:,84.39%
14,LINE,Noi O' hiên tai/ dang ký cu trú tai VN:,84.2%
14,LINE,Tinh trang cu trú:,97.82%
14,LINE,Cu trú,98.86%
14,LINE,Không cu trú,97.75%
14,LINE,Sô thi thuc:,84.81%
14,LINE,Noi cap:,84.35%
14,LINE,Ngày hêt han:,95.31%
14,LINE,"Dông thòi tai Muc IV ""Dăng ký mâu dâu và nguyên tãc sú dung mãu dau, mâu chû ký sú",75.62%
14,LINE,"dung tài khoån thanh toán"" duoc súa dôi nhu sau:",92.61%
14,LINE,"""IV. DĂNG KÝ MÃU DÁU VÀ NGUYÊN TAC SÚ DUNG MÃU DÁU, MÃU CHŪ KÝ",76.82%
14,LINE,"VÀ SÜ DUNG TÀI KHOÄN THANH TOÁN"" *",82.58%
14,LINE,Nguyên tăc sú dung mâu dâu và mâu chû ký,76.72%
14,LINE,Đăng ký mâu dâu,73.63%
14,LINE,Đăng ký mâu dâu,72.11%
14,LINE,Chúng tù giao dich tài khoån cúa Chúng tôi chi có hieu luc khi,90.29%
14,LINE,duoc dóng dâu (theo dang ký tai muc này) và thoa mãn môt,90.96%
14,LINE,trong các diêu kiên duói dây:,88.31%
14,LINE,Có ít nhât môt chû ký thuôc Nhóm chû ký thú nhât cua Chu,87.25%
14,LINE,tài khoån và môt chû ký thuôc Nhóm chû ký thú ba (trong,91.69%
14,LINE,truong hop tô chúc không bat buôc phài bô trí Ké toán,85.61%
14,LINE,truong/phu trách kê toán theo quy dinh cúa pháp luât); hoãc,85.59%
14,LINE,Có ít nhât môt chû ký thuôc Nhóm chû ký thú nhât cua Chu,86.43%
14,LINE,tài khoån và môt chû ký thuôc Nhóm chû ký thú hai cúa Ké,86.03%
14,LINE,toán truong/Phu trách kê toán/Nguòi duoc uy quyên boi Ké,80.81%
14,LINE,toán truðng/phu trách kê toán và môt chû ký thuôc Nhóm,87.97%
14,LINE,chû ký thú ba; hoãc,92.03%
14,LINE,Quy dinh khác (vui lòng ghi rõ):,98.03%
14,LINE,c),99.29%
14,LINE,"Phân dăng ký mãu dâu và nguyên tác súr dung mâu dâu, mãu chû ký sú dung tài khoån thanh toán:",77.38%
14,LINE,Huróng dan Khách hàng:,71.45%
14,LINE,-,89.65%
14,LINE,Đāng ký mãu dâu hop pháp cúa Chi nhánh/Văn phòng dai diên.,79.14%
14,LINE,-,89.51%
14,LINE,Lua chon và tích chính xác vào ô lua chon nguyên tãc sú dung mâu dâu và mãu chû ký,85.51%
14,LINE,d),99.81%
14,LINE,Phân dăng ký Tên tài khoån và loai tài khoån,88.75%
14,LINE,-,88.54%
14,LINE,Huóng dan Khách hàng dăng ký thông tin Tên tài khoån bao gom tôi da 35 ký tu.,87.12%
14,LINE,e),99.58%
14,LINE,Phân dăng ký dich vu tài khoån: Huóng dan Khách hàng lua chon và tích chính xác vào ô lua chon.,90.87%
14,LINE,Luru ý: Dôi vói hình thúc nhân sô phu/hóa don nêu Khách hàng lua chon nhân truc tiép tai Diêm giao dich,90.62%
14,LINE,cúa VPBank thì huóng dan Khách hàng diên dây du thông tin này,80.69%
14,LINE,MB01D.QF-GDTC/62,29.75%
14,LINE,14,99.8%
15,LINE,f),99.54%
15,LINE,Phân Dich vu SMS Banking: Huóng dan Khách hàng lua chon và tích chính xác vào ô lua chon và diên,92.19%
15,LINE,chính xác sô diên thoai dăng ký.,88.17%
15,LINE,g),99.79%
15,LINE,Phân thông tin FATCA: Huóng dan Khách hàng lua chon và tích chính xác vào ô lua chon và kê khai day,91.07%
15,LINE,du thông tin.,85.76%
15,LINE,Cung câp cho KH tiêu chí xác dinh Tô chúc phi tài chính nuóc ngoài chu dông theo các tiêu chí,94.44%
15,LINE,sau:,99.84%
15,LINE,Tô chúc chu dông (theo thu nhâp và tài sån).,90.56%
15,LINE,Chính phů và các co quan thuôc Chính phů,87.24%
15,LINE,Trong năm tài chính truóc hoãc thòi diêm khác,89.78%
15,LINE,"nuóc ngoài (ngoài Hoa Ký), Chính phů cúa",86.13%
15,LINE,"phù hop, tô chúrc:",96.05%
15,LINE,"Vùng lãnh thô phu thuôc cua Hoa Ký, Tô chúc",81.57%
15,LINE,-,89.33%
15,LINE,Có duói 50% tông thu nhâp là thu nhâp,95.97%
15,LINE,quóc té,52.88%
15,LINE,thu dông.,85.86%
15,LINE,Công ty dâu tu hoãc trung tâm nguôn vôn,81.99%
15,LINE,-,88.1%
15,LINE,Có duói 50% tài sån duoc tao ra hoãc,94.46%
15,LINE,Công ty mói thành lâp duói 24 tháng,94.45%
15,LINE,duoc sú dung dê tao ra thu nhâp thu dông,89.79%
15,LINE,Công ty dang giåi thê hoãc dang tái câu trúc,88.43%
15,LINE,Công ty cô phân dai chúng hoãc công ty thuôc,91.65%
15,LINE,sau khi phá sån,90.96%
15,LINE,nhóm liên kêt mo rông có cô phiéu duoc niêm,90.9%
15,LINE,yêt trên thi truong chúng khoán,95.48%
15,LINE,Công ty tham gia vào các giao dich câp vôn và,91.51%
15,LINE,"bão hiêm rui ro vói, hoãc cho, các Thuc thê",86.26%
15,LINE,Tô chúc phi tài chính lãnh thô,91.24%
15,LINE,liên quan không phai là Tô chúc Tài chính,89.9%
15,LINE,Tô chúc phi loi nhuân,92.35%
15,LINE,h),99.79%
15,LINE,Thông tin vê chú só hûru huong loi: Huróng dan Khách hàng xác dinh chu SÓ hûu huong loi và diên day,74.25%
15,LINE,du thông tin.,86.99%
15,LINE,Luru ý: Truong Dôi tuong SÓ hûu diên các ký hiêu (1a) (1b) tuong úng vói tùng loai dôi tuong và % so,83.63%
15,LINE,"hûu (nêu thuôc loai (2a), (2b))",87.88%
15,LINE,i),99.69%
15,LINE,Thông tin vê muc dích cúa Khách hàng trong môi quan hê vói VPBank: Huóng dan Khách hàng lua,90.47%
15,LINE,chon và tích chính xác vào ô lua chon.,96.77%
15,LINE,j),99.38%
15,LINE,"Thông tin úy quyên cúa Chù tài khoån, Ké toán truong: Huóng dan Khách hàng lua chon phurong",77.11%
15,LINE,thúc úy quyên và diên tay nôi dung: sô phurong thúc uy quyên (diên sô 1 hoãc 2),85.87%
15,LINE,k),99.76%
15,LINE,"Thông tin vê dăng ký nguòi giao nhân hô so, chúng tù: Huóng dan Khách hàng dang ký nguòi giao",88.05%
15,LINE,"nhân hô so, chúng tù cúa Khách hàng bang cách tích vào ô dê lua chon.",91.72%
15,LINE,1),99.16%
15,LINE,Phân ký xác nhân cúa Khách hàng:,91.63%
15,LINE,-,87.03%
15,LINE,Giây dê nghi duoc ký boi Dai diên theo pháp luât và Ké toán truong/phu trách kê toán.,87.56%
15,LINE,-,85.24%
15,LINE,Truong hop dai diên Chu tài khoan ký Giây dê nghi là Dai diên theo uy quyên (không phai là Dai diên,85.71%
15,LINE,theo pháp luât) thì cân có văn bån uy quyên hop lê cúa Chu tài khoan cho Dai diên uy quyên trong dó,87.78%
15,LINE,nêu rõ Dai diên uy quyên duoc quyên ký và quyêt tât cå các vân dê liên quan dên viêc mo và sú dung,84.2%
15,LINE,"TKTT tai VPBank, bao gôm cá viêc chi dinh nguòi sú dung tài khoan.",86.89%
15,LINE,III. CHINH SÚA MÃU BIÊU:,76.73%
15,LINE,"Han chê súa dôi, thêm, bót nôi dung tai Giay dè nghi. Truong hop xét thay cân chinh súa hoãc Khách hàng yêu",85.54%
15,LINE,"câu chinh súa, Don vi thuc hiên chinh súa và phê duyêt theo quy dinh cúa VPBank trong tùng thòi ky.",92.13%
15,LINE,MB01D.QD-GDTC/62,65.28%
15,LINE,15,99.03%
